shift,nps,strategy,safety,plasticity,stability,throughput,disturb_input,disturb_hidden_1,disturb_hidden_2,disturb_output,buffer_suggested,buffer_factor
0.6961,0.1238,High-Speed Parallel,low,0.9,0.25,0.95,0.9307,0.6675,0.1935,0.0425,100,1.0
0.8171,0.7714,Buffered Linear Ingestion,high,0.25,0.95,0.3,0.8831,0.9419,0.9558,0.5034,121,1.21
1.1364,1.0,Buffered Linear Ingestion,high,0.25,0.95,0.3,1.0,1.0,1.0,1.0,190,1.9
0.7836,0.0947,High-Speed Parallel,low,0.9,0.25,0.95,0.8641,0.3695,0.0548,0.0074,100,1.0
0.3321,1.0,Buffered Linear Ingestion,high,0.25,0.95,0.3,0.667,1.0,1.0,1.0,190,1.9
1.3632,0.8463,Buffered Linear Ingestion,high,0.25,0.95,0.3,0.7942,0.6525,0.5102,1.0,143,1.44
0.7336,0.0211,High-Speed Parallel,low,0.9,0.25,0.95,0.4634,0.3009,0.073,0.0066,100,1.0
0.7337,0.2216,High-Speed Parallel,low,0.9,0.25,0.95,0.8589,1.0,0.3909,0.0129,100,1.0
1.7068,0.1915,High-Speed Parallel,low,0.9,0.25,0.95,0.8902,0.7461,0.4541,0.0124,100,1.0
0.1717,0.9887,Buffered Linear Ingestion,high,0.25,0.95,0.3,0.6345,0.8427,0.9057,1.0,186,1.87
1.3806,1.0,Buffered Linear Ingestion,high,0.25,0.95,0.3,1.0,1.0,1.0,1.0,190,1.9
0.4006,0.7823,Buffered Linear Ingestion,high,0.25,0.95,0.3,0.8641,0.4425,0.376,0.8601,124,1.25
0.753,0.1086,High-Speed Parallel,low,0.9,0.25,0.95,0.6892,0.4279,0.2276,0.0688,100,1.0
0.3521,0.1078,High-Speed Parallel,low,0.9,0.25,0.95,0.7866,0.4421,0.1082,0.0155,100,1.0
1.603,0.9396,Buffered Linear Ingestion,high,0.25,0.95,0.3,1.0,0.9971,1.0,0.4835,171,1.72
0.6543,1.0,Buffered Linear Ingestion,high,0.25,0.95,0.3,1.0,1.0,1.0,1.0,190,1.9
1.1297,0.845,Buffered Linear Ingestion,high,0.25,0.95,0.3,0.8632,0.7715,0.447,1.0,143,1.44
1.1149,0.1053,High-Speed Parallel,low,0.9,0.25,0.95,0.8512,0.5808,0.3128,0.0015,100,1.0
0.5644,0.4797,Interleaved Mini-Batch,medium,0.55,0.65,0.6,0.8189,0.668,0.4257,0.2268,100,1.0
1.793,1.0,Buffered Linear Ingestion,high,0.25,0.95,0.3,0.9459,1.0,1.0,1.0,190,1.9
0.2018,1.0,Buffered Linear Ingestion,high,0.25,0.95,0.3,1.0,1.0,1.0,1.0,190,1.9
0.235,0.0229,High-Speed Parallel,low,0.9,0.25,0.95,0.8258,0.6674,0.2686,0.0037,100,1.0
0.2814,1.0,Buffered Linear Ingestion,high,0.25,0.95,0.3,0.8804,1.0,1.0,1.0,190,1.9
1.7156,0.5427,Interleaved Mini-Batch,medium,0.55,0.65,0.6,1.0,0.8345,0.2677,0.0741,100,1.0
0.7727,1.0,Buffered Linear Ingestion,high,0.25,0.95,0.3,0.9196,1.0,1.0,1.0,190,1.9
0.3257,1.0,Buffered Linear Ingestion,high,0.25,0.95,0.3,1.0,1.0,1.0,1.0,190,1.9
0.5673,0.509,Interleaved Mini-Batch,medium,0.55,0.65,0.6,1.0,1.0,0.8593,0.0605,100,1.0
0.1539,0.0712,High-Speed Parallel,low,0.9,0.25,0.95,1.0,1.0,1.0,0.0041,100,1.0
1.0271,1.0,Buffered Linear Ingestion,high,0.25,0.95,0.3,1.0,1.0,1.0,1.0,190,1.9
1.2243,0.0827,High-Speed Parallel,low,0.9,0.25,0.95,0.8328,0.5119,0.198,0.0114,100,1.0
0.8994,0.6539,Interleaved Mini-Batch,medium,0.55,0.65,0.6,0.8721,0.8239,0.7328,0.1123,100,1.0
1.7776,1.0,Buffered Linear Ingestion,high,0.25,0.95,0.3,1.0,1.0,1.0,1.0,190,1.9
0.1578,0.1658,High-Speed Parallel,low,0.9,0.25,0.95,1.0,0.7803,0.084,0.0048,100,1.0
0.8617,1.0,Buffered Linear Ingestion,high,0.25,0.95,0.3,1.0,1.0,1.0,0.7833,190,1.9
0.3686,0.1791,High-Speed Parallel,low,0.9,0.25,0.95,0.7075,0.3465,0.2428,0.0124,100,1.0
1.4046,0.4096,Interleaved Mini-Batch,medium,0.55,0.65,0.6,0.865,1.0,0.6303,0.1821,100,1.0
0.2615,0.2179,High-Speed Parallel,low,0.9,0.25,0.95,1.0,0.9908,0.411,0.0022,100,1.0
0.1198,1.0,Buffered Linear Ingestion,high,0.25,0.95,0.3,1.0,1.0,1.0,1.0,190,1.9
1.3624,1.0,Buffered Linear Ingestion,high,0.25,0.95,0.3,1.0,1.0,1.0,1.0,190,1.9
0.4392,1.0,Buffered Linear Ingestion,high,0.25,0.95,0.3,1.0,1.0,1.0,1.0,190,1.9
1.2202,0.2983,High-Speed Parallel,low,0.9,0.25,0.95,1.0,1.0,0.3792,0.0136,100,1.0
0.761,0.0317,High-Speed Parallel,low,0.9,0.25,0.95,0.8051,0.3323,0.0918,0.0022,100,1.0
0.6461,0.1426,High-Speed Parallel,low,0.9,0.25,0.95,1.0,0.6577,0.2499,0.0107,100,1.0
0.2557,1.0,Buffered Linear Ingestion,high,0.25,0.95,0.3,0.9293,1.0,1.0,1.0,190,1.9
0.6606,0.3058,Interleaved Mini-Batch,medium,0.55,0.65,0.6,0.9174,0.5438,0.2962,0.0303,100,1.0
